lat,lng,country,target
4.83,31.58,South Sudan,0
49.6117,6.13,Luxembourg,0
27.473,89.639,Bhutan,0
-26.3167,31.1333,Swaziland,0
0.3334,6.7333,Sao Tome And Principe,0
-9.438,159.9498,Solomon Islands,0
12.5304,-70.029,Aruba,0
-13.8415,-171.7386,Samoa,0
42.5,1.5165,Andorra,0
13.1483,-61.2121,Saint Vincent And The Grenadines,0
-17.7334,168.3166,Vanuatu,0
13.4539,-16.5917,"Gambia, The",0
-21.1385,-175.2206,Tonga,0
14.002,-61,Saint Lucia,0
43.7396,7.4069,Monaco,0
47.1337,9.5167,Liechtenstein,0
17.118,-61.85,Antigua And Barbuda,0
12.0526,-61.7416,Grenada,0
-4.6166,55.45,Seychelles,0
43.9172,12.4667,San Marino,0
1.3382,173.0176,Kiribati,0
7.103,171.38,Marshall Islands,0
15.301,-61.387,Dominica,0
17.302,-62.717,Saint Kitts And Nevis,0
17.252,-88.7671,Belize,0
-14.274,-170.7046,American Samoa,0
-26.4667,31.2,Swaziland,0
-8.5167,179.2166,Tuvalu,0
6.9166,158.15,"Micronesia, Federated States Of",0
15.2137,145.7546,Northern Mariana Islands,0
13.4745,144.7504,Guam,0
31.7764,35.2269,West Bank,0
18.0255,-63.045,Sint Maarten,0
-3.4271,29.9246,Burundi,0
42.6666,21.1724,Kosovo,0
7.5,134.6242,Palau,0
12.7797,45.0095,Yemen,0
-17.41,-66.17,Bolivia,0
26.2304,111.62,China,0
25.12,99.15,China,0
16.06,108.25,Vietnam,0
33.8704,130.82,Japan,0
58,56.25,Russia,0
31.28,48.72,Iran,0
26.2918,73.0168,India,0
22.17,-101,Mexico,0
46.49,30.71,Ukraine,0
38.468,106.273,China,0
30.7704,120.75,China,0
-26.32,-48.8399,Brazil,0
48,37.83,Ukraine,0
25.28,110.28,China,0
36.8667,43,Iraq,0
48.71,44.5,Russia,0
26.16,91.77,India,0
27.8333,114.4,China,0
37.87,113.57,China,0
-6.9838,-60.2699,Brazil,0
30.72,76.78,India,0
26.23,78.1801,India,0
34.7181,137.7327,Japan,0
34.65,50.95,Iran,0
45.3,130.97,China,0
20.9666,-89.6166,Mexico,0
34.38,118.35,China,0
20.63,-100.38,Mexico,0
27.62,113.85,China,0
-7.1011,-34.8761,Brazil,0
3.0204,101.55,Malaysia,0
41.1204,121.1,China,0
35.4676,-97.5137,United States,1
40.6804,14.7699,Italy,0
8.5,76.95,India,0
11.2504,75.77,India,0
10.81,78.69,India,0
8.13,4.24,Nigeria,0
6.1108,125.1747,Philippines,0
16.47,107.58,Vietnam,0
10.6317,122.9817,Philippines,0
32.0304,120.825,China,0
23.0301,113.12,China,0
37.4386,127.1378,"Korea, South",0
41.1918,-73.1953,United States,1
43.715,7.265,France,0
42.9017,-78.8487,United States,1
36.179,44.0086,Iraq,0
56.014,92.866,Russia,0
-8,-34.85,Brazil,0
51.2204,4.415,Belgium,0
37.875,32.475,Turkey,0
-6.57,106.75,Indonesia,0
41.7661,-72.6834,United States,1
